,smiles,freesolv,processed_smiles
310,CCC(C)(C)O,-4.43,C C C ( C ) ( C ) O
311,CCc1cccc(c1N(COC)C(=O)CCl)CC,-8.21,C C c 1 c c c c ( c 1 N ( C O C ) C ( = O ) C Cl ) C C
312,Cn1cccc1,-2.89,C n 1 c c c c 1
313,COCOC,-2.93,C O C O C
314,CCC(CC)O,-4.35,C C C ( C C ) O
315,CCCCCCCCCC(=O)C,-2.15,C C C C C C C C C C ( = O ) C
316,C(CBr)Cl,-1.95,C ( C Br ) Cl
317,c1ccc(cc1)I,-1.74,c 1 c c c ( c c 1 ) I
318,CC1=CC(=O)CC(C1)(C)C,-5.18,C C 1 = C C ( = O ) C C ( C 1 ) ( C ) C
319,CCI,-0.74,C C I
320,CCCc1ccc(c(c1)OC)O,-5.26,C C C c 1 c c c ( c ( c 1 ) O C ) O
321,CC(C)Br,-0.48,C C ( C ) Br
322,Cc1ccc(cc1)Br,-1.39,C c 1 c c c ( c c 1 ) Br
323,c1cc(ccc1C#N)O,-10.17,c 1 c c ( c c c 1 C # N ) O
324,CS(=O)(=O)C,-10.08,C S ( = O ) ( = O ) C
325,CCc1cccc(c1)O,-6.25,C C c 1 c c c c ( c 1 ) O
326,CC1=CC[C@H](C[C@@H]1O)C(=C)C,-4.44,C C 1 = C C [ C @ H ] ( C [ C @ @ H ] 1 O ) C ( = C ) C
327,c1cc(ccc1Br)Br,-2.3,c 1 c c ( c c c 1 Br ) Br
328,COc1c(ccc(c1C(=O)O)Cl)Cl,-9.86,C O c 1 c ( c c c ( c 1 C ( = O ) O ) Cl ) Cl
329,CC/C=C\C,1.31,C C / C = C \ C
330,CC,1.83,C C
331,COc1ccccc1OC,-5.33,C O c 1 c c c c c 1 O C
332,CCSCC,-1.46,C C S C C
333,c1cc(cnc1)C#N,-6.75,c 1 c c ( c n c 1 ) C # N
334,c1cc(c(cc1O)Cl)Cl,-7.29,c 1 c c ( c ( c c 1 O ) Cl ) Cl
335,COc1ccccc1,-2.45,C O c 1 c c c c c 1
336,Cc1ccc(c(c1)O)C,-5.91,C c 1 c c c ( c ( c 1 ) O ) C
337,c1cc(ccc1Cl)Cl,-1.01,c 1 c c ( c c c 1 Cl ) Cl
338,C(F)Cl,-0.77,C ( F ) Cl
339,CCCC=C,1.68,C C C C = C
340,c1cc(c(c(c1Cl)Cl)Cl)Cl,-1.34,c 1 c c ( c ( c ( c 1 Cl ) Cl ) Cl ) Cl
341,CCCCCC#C,0.6,C C C C C C # C
342,CCCCCCCCC(=O)C,-2.34,C C C C C C C C C ( = O ) C
343,c1ccc(cc1)Cl,-1.12,c 1 c c c ( c c 1 ) Cl
344,CN(C)CCOC(c1ccccc1)c2ccccc2,-9.34,C N ( C ) C C O C ( c 1 c c c c c 1 ) c 2 c c c c c 2
345,CCCCC=O,-3.03,C C C C C = O
346,c1ccc(cc1)Oc2ccccc2,-2.87,c 1 c c c ( c c 1 ) O c 2 c c c c c 2
347,C1CCC(=O)CC1,-4.91,C 1 C C C ( = O ) C C 1
348,CCCC[N+](=O)[O-],-3.09,C C C C [ N+ ] ( = O ) [ O- ]
349,c1cnccc1C=O,-7.0,c 1 c n c c c 1 C = O
350,C(CCl)OCCCl,-4.23,C ( C Cl ) O C C Cl
351,CC[N+](=O)[O-],-3.71,C C [ N+ ] ( = O ) [ O- ]
352,c1cc(cnc1)Cl,-4.01,c 1 c c ( c n c 1 ) Cl
353,CBr,-0.82,C Br
354,CO,-5.1,C O
355,CCCCCCC=O,-2.67,C C C C C C C = O
356,c1cc(c(c(c1)Cl)c2c(cccc2Cl)Cl)Cl,-2.28,c 1 c c ( c ( c ( c 1 ) Cl ) c 2 c ( c c c c 2 Cl ) Cl ) Cl
357,c1ccc(c(c1)N)[N+](=O)[O-],-7.37,c 1 c c c ( c ( c 1 ) N ) [ N+ ] ( = O ) [ O- ]
358,CN1CCCCC1,-3.88,C N 1 C C C C C 1
359,CCCCCCCC=O,-2.29,C C C C C C C C = O
360,c1ccc(cc1)[N+](=O)[O-],-4.12,c 1 c c c ( c c 1 ) [ N+ ] ( = O ) [ O- ]
361,C[C@@H]1CC[C@H](C(=O)C1)C(C)C,-2.53,C [ C @ @ H ] 1 C C [ C @ H ] ( C ( = O ) C 1 ) C ( C ) C
362,C([C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)O)O)O)O)O,-25.47,C ( [ C @ @ H ] 1 [ C @ H ] ( [ C @ @ H ] ( [ C @ H ] ( [ C @ @ H ] ( O 1 ) O ) O ) O ) O ) O
363,CF,-0.22,C F
364,CS(=O)C,-9.28,C S ( = O ) C
365,c1ccc2c(c1)Oc3ccccc3O2,-3.15,c 1 c c c 2 c ( c 1 ) O c 3 c c c c c 3 O 2
366,Cc1ccccc1N,-5.53,C c 1 c c c c c 1 N
367,CCCCBr,-0.4,C C C C Br
368,CCCCCCCCCO,-3.88,C C C C C C C C C O
369,Cc1ccncc1,-4.93,C c 1 c c n c c 1
370,C(=C(Cl)Cl)(Cl)Cl,0.1,C ( = C ( Cl ) Cl ) ( Cl ) Cl
371,CC(C)(C)Br,0.84,C C ( C ) ( C ) Br
372,C=C(c1ccccc1)c2ccccc2,-2.78,C = C ( c 1 c c c c c 1 ) c 2 c c c c c 2
373,CCc1ccc(cc1)C,-0.95,C C c 1 c c c ( c c 1 ) C
374,Cc1cccnc1,-4.77,C c 1 c c c n c 1
375,COCC(OC)(OC)OC,-5.73,C O C C ( O C ) ( O C ) O C
376,c1ccc-2c(c1)Cc3c2cccc3,-3.35,c 1 c c c - 2 c ( c 1 ) C c 3 c 2 c c c c 3
377,CC(=O)N,-9.71,C C ( = O ) N
378,COS(=O)(=O)OC,-5.1,C O S ( = O ) ( = O ) O C
379,C(C(Cl)Cl)(Cl)Cl,-2.37,C ( C ( Cl ) Cl ) ( Cl ) Cl
380,COC(=O)C1CCCCC1,-3.3,C O C ( = O ) C 1 C C C C C 1
381,CCCCCCBr,0.18,C C C C C C Br
382,CCCCCCCBr,0.34,C C C C C C C Br
383,c1ccc2c(c1)Oc3cccc(c3O2)Cl,-3.52,c 1 c c c 2 c ( c 1 ) O c 3 c c c c ( c 3 O 2 ) Cl
384,COC(CC#N)(OC)OC,-6.4,C O C ( C C # N ) ( O C ) O C
385,CC[C@H](C)Cl,0.0,C C [ C @ H ] ( C ) Cl
386,CCCCCCc1ccccc1,-0.04,C C C C C C c 1 c c c c c 1
387,COc1cc(c(c(c1O)OC)Cl)C=O,-7.78,C O c 1 c c ( c ( c ( c 1 O ) O C ) Cl ) C = O
388,c1cc(cc(c1)C(F)(F)F)C(F)(F)F,1.07,c 1 c c ( c c ( c 1 ) C ( F ) ( F ) F ) C ( F ) ( F ) F
389,c1ccc(cc1)Cn2ccnc2,-7.63,c 1 c c c ( c c 1 ) C n 2 c c n c 2
390,c1ccc2c(c1)cccc2N,-7.28,c 1 c c c 2 c ( c 1 ) c c c c 2 N
391,CCOC(=O)CC(=O)OCC,-6.0,C C O C ( = O ) C C ( = O ) O C C
392,CC(=O)C1CC1,-4.61,C C ( = O ) C 1 C C 1
393,c1cc[nH]c1,-4.78,c 1 c c [ n H ] c 1
394,c1cc(c(cc1c2ccc(cc2F)F)C(=O)O)O,-9.4,c 1 c c ( c ( c c 1 c 2 c c c ( c c 2 F ) F ) C ( = O ) O ) O
395,CC1CCC(CC1)C,2.11,C C 1 C C C ( C C 1 ) C
396,C1CCC(CC1)O,-5.46,C 1 C C C ( C C 1 ) O
397,CN(C)CCC=C1c2ccccc2CCc3c1cccc3,-7.43,C N ( C ) C C C = C 1 c 2 c c c c c 2 C C c 3 c 1 c c c c 3
398,c1cc(ccc1O)F,-6.19,c 1 c c ( c c c 1 O ) F
399,c1ccc(c(c1)N)Cl,-4.91,c 1 c c c ( c ( c 1 ) N ) Cl
400,Cc1ccc(c(c1)C)C,-0.86,C c 1 c c c ( c ( c 1 ) C ) C
401,CCc1ccccc1C,-0.85,C C c 1 c c c c c 1 C
402,C[C@@H]1CC[C@H](CC1=O)C(=C)C,-3.75,C [ C @ @ H ] 1 C C [ C @ H ] ( C C 1 = O ) C ( = C ) C
403,c1ccc(cc1)c2ccccc2,-2.7,c 1 c c c ( c c 1 ) c 2 c c c c c 2
404,Cc1cccc(c1C)O,-6.16,C c 1 c c c c ( c 1 C ) O
405,COP(=S)(OC)Oc1ccc(cc1)[N+](=O)[O-],-7.19,C O P ( = S ) ( O C ) O c 1 c c c ( c c 1 ) [ N+ ] ( = O ) [ O- ]
406,CCOP(=S)(OCC)Oc1ccc(cc1)[N+](=O)[O-],-6.74,C C O P ( = S ) ( O C C ) O c 1 c c c ( c c 1 ) [ N+ ] ( = O ) [ O- ]
407,CCN(CC)c1c(cc(c(c1[N+](=O)[O-])N)C(F)(F)F)[N+](=O)[O-],-5.66,C C N ( C C ) c 1 c ( c c ( c ( c 1 [ N+ ] ( = O ) [ O- ] ) N ) C ( F ) ( F ) F ) [ N+ ] ( = O ) [ O- ]
408,CSC,-1.61,C S C
409,C[C@@H](c1cccc(c1)C(=O)c2ccccc2)C(=O)O,-10.78,C [ C @ @ H ] ( c 1 c c c c ( c 1 ) C ( = O ) c 2 c c c c c 2 ) C ( = O ) O
410,C1CCC(C1)O,-5.49,C 1 C C C ( C 1 ) O
411,CCCCC(=O)OC,-2.56,C C C C C ( = O ) O C
412,CCCC(=C)C,1.47,C C C C ( = C ) C
413,C[C@@H](c1ccc(c(c1)F)c2ccccc2)C(=O)O,-8.42,C [ C @ @ H ] ( c 1 c c c ( c ( c 1 ) F ) c 2 c c c c c 2 ) C ( = O ) O
414,CCCN(CCC)c1c(cc(cc1[N+](=O)[O-])S(=O)(=O)C)[N+](=O)[O-],-7.98,C C C N ( C C C ) c 1 c ( c c ( c c 1 [ N+ ] ( = O ) [ O- ] ) S ( = O ) ( = O ) C ) [ N+ ] ( = O ) [ O- ]
415,C=CCl,-0.59,C = C Cl
416,Cc1ccc(cc1)C(=O)N(C)C,-9.76,C c 1 c c c ( c c 1 ) C ( = O ) N ( C ) C
417,CCCC(=O)CCC,-2.92,C C C C ( = O ) C C C
418,COC(=O)c1ccccc1,-3.92,C O C ( = O ) c 1 c c c c c 1
419,Cc1ccc(cc1)C=O,-4.27,C c 1 c c c ( c c 1 ) C = O
420,CCCC(=O)OCCC,-2.28,C C C C ( = O ) O C C C
421,C1CNCCN1,-7.4,C 1 C N C C N 1
422,CCOP(=S)(OCC)S[C@@H](CCl)N1C(=O)c2ccccc2C1=O,-5.74,C C O P ( = S ) ( O C C ) S [ C @ @ H ] ( C Cl ) N 1 C ( = O ) c 2 c c c c c 2 C 1 = O
423,CCOCCO,-6.69,C C O C C O
424,CCC(C)CC,2.51,C C C ( C ) C C
425,Cc1cnccn1,-5.51,C c 1 c n c c n 1
426,CCC[N+](=O)[O-],-3.34,C C C [ N+ ] ( = O ) [ O- ]
427,Cc1cc(cc(c1)C)C,-0.9,C c 1 c c ( c c ( c 1 ) C ) C
428,c1c(c(=O)[nH]c(=O)[nH]1)F,-16.92,c 1 c ( c ( = O ) [ n H ] c ( = O ) [ n H ] 1 ) F
429,CCO,-5.0,C C O
430,Cc1ccc(c2c1cccc2)C,-2.82,C c 1 c c c ( c 2 c 1 c c c c 2 ) C
431,c1c2c(cc(c1Cl)Cl)Oc3cc(c(cc3O2)Cl)Cl,-3.37,c 1 c 2 c ( c c ( c 1 Cl ) Cl ) O c 3 c c ( c ( c c 3 O 2 ) Cl ) Cl
432,c1cc(c(c(c1)Cl)C#N)Cl,-4.71,c 1 c c ( c ( c ( c 1 ) Cl ) C # N ) Cl
433,CCOC=O,-2.56,C C O C = O
434,c1c(c(cc(c1Cl)Cl)Cl)Cl,-1.34,c 1 c ( c ( c c ( c 1 Cl ) Cl ) Cl ) Cl
435,CCOC(OCC)Oc1ccccc1,-5.23,C C O C ( O C C ) O c 1 c c c c c 1
436,c1cc(cc(c1)O)[N+](=O)[O-],-9.62,c 1 c c ( c c ( c 1 ) O ) [ N+ ] ( = O ) [ O- ]
437,CCCCCCCCO,-4.09,C C C C C C C C O
438,CCC=C,1.38,C C C = C
439,C(Cl)(Cl)(Cl)Cl,0.08,C ( Cl ) ( Cl ) ( Cl ) Cl
440,c1ccc(cc1)CCO,-6.79,c 1 c c c ( c c 1 ) C C O
441,CN(C)C(=O)Nc1ccccc1,-9.13,C N ( C ) C ( = O ) N c 1 c c c c c 1
442,CSSC,-1.83,C S S C
443,C1C=CC[C@@H]2[C@@H]1C(=O)N(C2=O)SC(Cl)(Cl)Cl,-9.01,C 1 C = C C [ C @ @ H ] 2 [ C @ @ H ] 1 C ( = O ) N ( C 2 = O ) S C ( Cl ) ( Cl ) Cl
444,CC(=O)OCC(COC(=O)C)OC(=O)C,-8.84,C C ( = O ) O C C ( C O C ( = O ) C ) O C ( = O ) C
445,COC,-1.91,C O C
446,CCCCCC,2.48,C C C C C C
447,C(CBr)Br,-2.33,C ( C Br ) Br
448,C(C(Cl)(Cl)Cl)(Cl)Cl,-1.23,C ( C ( Cl ) ( Cl ) Cl ) ( Cl ) Cl
449,c1c(c(=O)[nH]c(=O)[nH]1)C(F)(F)F,-15.46,c 1 c ( c ( = O ) [ n H ] c ( = O ) [ n H ] 1 ) C ( F ) ( F ) F
450,Cc1cccc(c1N)C,-5.21,C c 1 c c c c ( c 1 N ) C
451,CCCOC(=O)C,-2.79,C C C O C ( = O ) C
452,c1ccc2c(c1)cccn2,-5.72,c 1 c c c 2 c ( c 1 ) c c c n 2
453,CCS,-1.14,C C S
454,CCSSCC,-1.64,C C S S C C
455,c1ccsc1,-1.4,c 1 c c s c 1
456,CCc1cccc2c1cccc2,-2.4,C C c 1 c c c c 2 c 1 c c c c 2
457,CCCC(=O)C,-3.52,C C C C ( = O ) C
458,c1c(c(c(c(c1Cl)Cl)Cl)Cl)c2c(cc(c(c2Cl)Cl)Cl)Cl,-4.61,c 1 c ( c ( c ( c ( c 1 Cl ) Cl ) Cl ) Cl ) c 2 c ( c c ( c ( c 2 Cl ) Cl ) Cl ) Cl
459,CCC[N@@](CC1CC1)c2c(cc(cc2[N+](=O)[O-])C(F)(F)F)[N+](=O)[O-],-2.45,C C C [ N @ @ ] ( C C 1 C C 1 ) c 2 c ( c c ( c c 2 [ N+ ] ( = O ) [ O- ] ) C ( F ) ( F ) F ) [ N+ ] ( = O ) [ O- ]
460,CC(=O)O,-6.69,C C ( = O ) O
461,CC=O,-3.5,C C = O
462,c1cc(cc(c1)[N+](=O)[O-])N,-8.84,c 1 c c ( c c ( c 1 ) [ N+ ] ( = O ) [ O- ] ) N
463,CCCCC#C,0.29,C C C C C # C
464,COc1ccccc1N,-6.12,C O c 1 c c c c c 1 N
465,c1ccc(cc1)O,-6.6,c 1 c c c ( c c 1 ) O
466,CCC#N,-3.84,C C C # N
467,c1ccc2c(c1)cccc2O,-7.67,c 1 c c c 2 c ( c 1 ) c c c c 2 O
468,CCCCOC(=O)C,-2.64,C C C C O C ( = O ) C
469,CC(C)(/C=N\OC(=O)NC)SC,-9.84,C C ( C ) ( / C = N \ O C ( = O ) N C ) S C
470,Cc1ccccc1O,-5.9,C c 1 c c c c c 1 O
471,CC(C)C=O,-2.86,C C ( C ) C = O
472,CCC(=O)N,-9.4,C C C ( = O ) N
473,CCCBr,-0.56,C C C Br
474,CC(C)Cl,-0.25,C C ( C ) Cl
475,C(CCl)CCl,-1.89,C ( C Cl ) C Cl
476,c1cc(ccc1[N+](=O)[O-])O,-10.64,c 1 c c ( c c c 1 [ N+ ] ( = O ) [ O- ] ) O
477,C[C@@H](CCl)Cl,-1.27,C [ C @ @ H ] ( C Cl ) Cl
478,c1cc(ccc1N)Cl,-5.9,c 1 c c ( c c c 1 N ) Cl
479,c1ccc2c(c1)C(=O)c3cccc(c3C2=O)N,-9.44,c 1 c c c 2 c ( c 1 ) C ( = O ) c 3 c c c c ( c 3 C 2 = O ) N
480,Cc1cccnc1C,-4.82,C c 1 c c c n c 1 C
481,c1cnccc1C#N,-6.02,c 1 c n c c c 1 C # N
482,CCOP(=S)(OCC)SCSCC,-4.37,C C O P ( = S ) ( O C C ) S C S C C
483,CC(=O)C1CCCCC1,-3.9,C C ( = O ) C 1 C C C C C 1
484,Cc1ccccc1C=O,-3.93,C c 1 c c c c c 1 C = O
485,CC(=O)c1ccncc1,-7.62,C C ( = O ) c 1 c c n c c 1
486,c1c2c(cc(c1Cl)Cl)Oc3c(c(c(c(c3Cl)Cl)Cl)Cl)O2,-3.71,c 1 c 2 c ( c c ( c 1 Cl ) Cl ) O c 3 c ( c ( c ( c ( c 3 Cl ) Cl ) Cl ) Cl ) O 2
487,CC(=O)C,-3.8,C C ( = O ) C
488,CC(=C)C,1.16,C C ( = C ) C
489,c1cc(c(cc1Cl)c2cc(c(c(c2)Cl)Cl)Cl)Cl,-3.61,c 1 c c ( c ( c c 1 Cl ) c 2 c c ( c ( c ( c 2 ) Cl ) Cl ) Cl ) Cl
490,CCCCC[N+](=O)[O-],-2.82,C C C C C [ N+ ] ( = O ) [ O- ]
491,CCC/C=C/C=O,-3.68,C C C / C = C / C = O
492,CN(C)C(=O)c1ccc(cc1)[N+](=O)[O-],-11.95,C N ( C ) C ( = O ) c 1 c c c ( c c 1 ) [ N+ ] ( = O ) [ O- ]
493,C1CCOC1,-3.47,C 1 C C O C 1
494,CCCCCCCC,2.88,C C C C C C C C
495,CCCN(CCC)c1c(cc(cc1[N+](=O)[O-])C(F)(F)F)[N+](=O)[O-],-3.25,C C C N ( C C C ) c 1 c ( c c ( c c 1 [ N+ ] ( = O ) [ O- ] ) C ( F ) ( F ) F ) [ N+ ] ( = O ) [ O- ]
496,CC(=CCC[C@](C)(C=C)OC(=O)C)C,-2.49,C C ( = C C C [ C @ ] ( C ) ( C = C ) O C ( = O ) C ) C
497,C[C@@H](CCO[N+](=O)[O-])O[N+](=O)[O-],-4.29,C [ C @ @ H ] ( C C O [ N+ ] ( = O ) [ O- ] ) O [ N+ ] ( = O ) [ O- ]
498,CC(C)OC(C)C,-0.53,C C ( C ) O C ( C ) C
499,CCCCC(C)C,2.93,C C C C C ( C ) C
500,c1(c(c(c(c(c1Cl)Cl)Cl)Cl)Cl)N(=O)=O,-5.22,c 1 ( c ( c ( c ( c ( c 1 Cl ) Cl ) Cl ) Cl ) Cl ) N ( = O ) = O
501,[C@@H](C(F)(F)F)(Cl)Br,-0.11,[ C @ @ H ] ( C ( F ) ( F ) F ) ( Cl ) Br
502,CCCCOCCCC,-0.83,C C C C O C C C C
503,CCCCCC1CCCC1,2.55,C C C C C C 1 C C C C 1
504,CC(C)CC(C)C,2.83,C C ( C ) C C ( C ) C
505,Cc1ccc(nc1)C,-4.72,C c 1 c c c ( n c 1 ) C
506,C/C=C/C=O,-4.22,C / C = C / C = O
507,CCC[C@H](C)CC,2.71,C C C [ C @ H ] ( C ) C C
508,c1cc(c(c(c1)Cl)c2c(cc(cc2Cl)Cl)Cl)Cl,-1.96,c 1 c c ( c ( c ( c 1 ) Cl ) c 2 c ( c c ( c c 2 Cl ) Cl ) Cl ) Cl
509,c1ccc(cc1)O[C@@H](C(F)F)F,-1.29,c 1 c c c ( c c 1 ) O [ C @ @ H ] ( C ( F ) F ) F
510,COCCOC,-4.84,C O C C O C
511,CC[C@H](C)c1ccccc1,-0.45,C C [ C @ H ] ( C ) c 1 c c c c c 1
512,c1ccc(cc1)CCCO,-6.92,c 1 c c c ( c c 1 ) C C C O
513,CC[C@@H](C)c1cc(cc(c1O)[N+](=O)[O-])[N+](=O)[O-],-6.23,C C [ C @ @ H ] ( C ) c 1 c c ( c c ( c 1 O ) [ N+ ] ( = O ) [ O- ] ) [ N+ ] ( = O ) [ O- ]
514,COc1ccc(cc1)C(=O)OC,-5.33,C O c 1 c c c ( c c 1 ) C ( = O ) O C
515,CCC(=O)Nc1ccc(c(c1)Cl)Cl,-7.78,C C C ( = O ) N c 1 c c c ( c ( c 1 ) Cl ) Cl
516,C[C@@H](c1ccc2cc(ccc2c1)OC)C(=O)O,-10.21,C [ C @ @ H ] ( c 1 c c c 2 c c ( c c c 2 c 1 ) O C ) C ( = O ) O
517,C1(C(C(C1(F)F)(F)F)(F)F)(F)F,3.43,C 1 ( C ( C ( C 1 ( F ) F ) ( F ) F ) ( F ) F ) ( F ) F
518,CC(C)CCOC(=O)C,-2.21,C C ( C ) C C O C ( = O ) C
519,CCCCCCCl,0.0,C C C C C C Cl
520,CC(C)CC(=O)C,-3.05,C C ( C ) C C ( = O ) C
521,CCCCCC=O,-2.81,C C C C C C = O
522,c1cc(cc(c1)Cl)N,-5.82,c 1 c c ( c c ( c 1 ) Cl ) N
523,C1COCCN1,-7.17,C 1 C O C C N 1
524,CCOC(C)OCC,-3.28,C C O C ( C ) O C C
525,CCCC[N@](CC)c1c(cc(cc1[N+](=O)[O-])C(F)(F)F)[N+](=O)[O-],-3.51,C C C C [ N @ ] ( C C ) c 1 c ( c c ( c c 1 [ N+ ] ( = O ) [ O- ] ) C ( F ) ( F ) F ) [ N+ ] ( = O ) [ O- ]
526,CS,-1.2,C S
527,C1[C@@H]2[C@H](COS(=O)O1)[C@@]3(C(=C([C@]2(C3(Cl)Cl)Cl)Cl)Cl)Cl,-4.23,C 1 [ C @ @ H ] 2 [ C @ H ] ( C O S ( = O ) O 1 ) [ C @ @ ] 3 ( C ( = C ( [ C @ ] 2 ( C 3 ( Cl ) Cl ) Cl ) Cl ) Cl ) Cl
528,CC(=O)c1ccc(cc1)OC,-4.4,C C ( = O ) c 1 c c c ( c c 1 ) O C
529,C=CCO,-5.03,C = C C O
530,CCSC,-1.5,C C S C
531,CCCCCOC(=O)C,-2.51,C C C C C O C ( = O ) C
532,c1c(cc(c(c1Cl)Cl)Cl)Cl,-1.62,c 1 c ( c c ( c ( c 1 Cl ) Cl ) Cl ) Cl
533,CC(=O)c1ccccc1,-4.58,C C ( = O ) c 1 c c c c c 1
534,CCCl,-0.63,C C Cl
535,CCCC1CCCC1,2.13,C C C C 1 C C C C 1
536,c1c(cc(cc1Cl)Cl)Cl,-0.78,c 1 c ( c c ( c c 1 Cl ) Cl ) Cl
537,CCCOC(=O)c1ccc(cc1)O,-9.37,C C C O C ( = O ) c 1 c c c ( c c 1 ) O
538,c1cc(cc(c1)Cl)O,-6.62,c 1 c c ( c c ( c 1 ) Cl ) O
539,CC(C)CCO,-4.42,C C ( C ) C C O
540,CCCCCN,-4.09,C C C C C N
541,Cc1c(c(=O)n(c(=O)[nH]1)C(C)(C)C)Cl,-11.14,C c 1 c ( c ( = O ) n ( c ( = O ) [ n H ] 1 ) C ( C ) ( C ) C ) Cl
542,CC(C)CCC(C)(C)C,2.93,C C ( C ) C C C ( C ) ( C ) C
543,CCCCOCCO,-6.25,C C C C O C C O
544,C1[C@@H]2[C@H]3[C@@H]([C@H]1[C@H]4[C@@H]2O4)[C@@]5(C(=C([C@]3(C5(Cl)Cl)Cl)Cl)Cl)Cl,-4.82,C 1 [ C @ @ H ] 2 [ C @ H ] 3 [ C @ @ H ] ( [ C @ H ] 1 [ C @ H ] 4 [ C @ @ H ] 2 O 4 ) [ C @ @ ] 5 ( C ( = C ( [ C @ ] 3 ( C 5 ( Cl ) Cl ) Cl ) Cl ) Cl ) Cl
545,c1ccc(cc1)C(=O)N,-11.0,c 1 c c c ( c c 1 ) C ( = O ) N
546,CC(C)[N+](=O)[O-],-3.13,C C ( C ) [ N+ ] ( = O ) [ O- ]
547,C(C(CO)O)O,-13.43,C ( C ( C O ) O ) O
548,CCCI,-0.53,C C C I
549,COCCN,-6.55,C O C C N
550,C(C(Cl)(Cl)Cl)Cl,-1.43,C ( C ( Cl ) ( Cl ) Cl ) Cl
551,CCC(=O)OC,-2.93,C C C ( = O ) O C
552,C1CCCC1,1.2,C 1 C C C C 1
553,CCc1cccnc1,-4.59,C C c 1 c c c n c 1
554,Cc1cc(cnc1)C,-4.84,C c 1 c c ( c n c 1 ) C
555,COCCO,-6.619999999999999,C O C C O
556,COC=O,-2.78,C O C = O
557,c1ccc2cc(ccc2c1)N,-7.47,c 1 c c c 2 c c ( c c c 2 c 1 ) N
558,Cc1c[nH]cn1,-10.27,C c 1 c [ n H ] c n 1
559,Cc1cccc(c1)[N+](=O)[O-],-3.45,C c 1 c c c c ( c 1 ) [ N+ ] ( = O ) [ O- ]
560,C(CCCl)CCl,-2.32,C ( C C Cl ) C Cl
561,CC(=O)CO[N+](=O)[O-],-5.99,C C ( = O ) C O [ N+ ] ( = O ) [ O- ]
562,CC(C)(C)c1ccccc1,-0.44,C C ( C ) ( C ) c 1 c c c c c 1
563,CCCCCC(=O)OC,-2.49,C C C C C C ( = O ) O C
564,C[C@@H](C(F)(F)F)O,-4.16,C [ C @ @ H ] ( C ( F ) ( F ) F ) O
565,CCCCCBr,-0.1,C C C C C Br
566,CCCCCCC=C,1.92,C C C C C C C = C
567,CC1=CC(=O)[C@@H](CC1)C(C)C,-4.51,C C 1 = C C ( = O ) [ C @ @ H ] ( C C 1 ) C ( C ) C
568,CC(C)O,-4.74,C C ( C ) O
569,CCCCCCN,-3.95,C C C C C C N
570,C(CO[N+](=O)[O-])CO[N+](=O)[O-],-4.8,C ( C O [ N+ ] ( = O ) [ O- ] ) C O [ N+ ] ( = O ) [ O- ]
571,Cc1ccc(c(c1)C)O,-6.01,C c 1 c c c ( c ( c 1 ) C ) O
572,CCCCCO,-4.57,C C C C C O
573,CCC[C@@H](C)O,-4.39,C C C [ C @ @ H ] ( C ) O
574,CCCC[C@@H](C)CC,2.97,C C C C [ C @ @ H ] ( C ) C C
575,C[C@@H](c1ccc(cc1)CC(C)C)C(=O)O,-7.0,C [ C @ @ H ] ( c 1 c c c ( c c 1 ) C C ( C ) C ) C ( = O ) O
576,CCOC(=O)C[C@H](C(=O)OCC)SP(=S)(OC)OC,-8.15,C C O C ( = O ) C [ C @ H ] ( C ( = O ) O C C ) S P ( = S ) ( O C ) O C
577,Cc1ccc(cc1C)O,-6.5,C c 1 c c c ( c c 1 C ) O
578,Cc1cc(ccc1Cl)O,-6.79,C c 1 c c ( c c c 1 Cl ) O
579,CCCC/C=C/C,1.68,C C C C / C = C / C
580,CCCOCCC,-1.16,C C C O C C C
581,C[C@@H]1CC[C@H]([C@@H](C1)O)C(C)C,-3.2,C [ C @ @ H ] 1 C C [ C @ H ] ( [ C @ @ H ] ( C 1 ) O ) C ( C ) C
582,CCNc1nc(nc(n1)SC)NC(C)(C)C,-6.68,C C N c 1 n c ( n c ( n 1 ) S C ) N C ( C ) ( C ) C
583,CC(C)CC(C)(C)C,2.89,C C ( C ) C C ( C ) ( C ) C
584,CCCCC(=O)CCCC,-2.64,C C C C C ( = O ) C C C C
585,CCCCN(CC)C(=O)SCCC,-3.64,C C C C N ( C C ) C ( = O ) S C C C
586,CCCCCC=C,1.66,C C C C C C = C
587,CC(C)OC=O,-2.02,C C ( C ) O C = O
588,CC(OC(=O)C)OC(=O)C,-4.97,C C ( O C ( = O ) C ) O C ( = O ) C
589,c1c(c(=O)[nH]c(=O)[nH]1)Cl,-17.74,c 1 c ( c ( = O ) [ n H ] c ( = O ) [ n H ] 1 ) Cl
590,CC(=C)c1ccccc1,-1.24,C C ( = C ) c 1 c c c c c 1
591,CCC(C)C,2.38,C C C ( C ) C
592,CCCCO[N+](=O)[O-],-2.09,C C C C O [ N+ ] ( = O ) [ O- ]
593,c1ccc(cc1)Br,-1.46,c 1 c c c ( c c 1 ) Br
594,CC(Cl)(Cl)Cl,-0.19,C C ( Cl ) ( Cl ) Cl
595,CC(=C)[C@H]1CCC(=CC1)C=O,-4.09,C C ( = C ) [ C @ H ] 1 C C C ( = C C 1 ) C = O
